PredictedLabel,ActualLabel,Message,Reasoning,Sha,Source,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,WorkItems,TotalFiles,ModifiedFiles,AddedFiles,DeletedFiles,TotalLines,NetLines,AddedLines,DeletedLines,HasAddedFiles,HasDeletedFiles,DayOfWeek,Month,Quarter,Year,Hour,TimeOfDay,IsWeekend,MessageLength,WordCount
false,false,Add test,Adding a test does not fix a bug but rather helps in ensuring future changes do not introduce bugs,e1283c0b37e7e664e0323116baaba9592d346e87,dotnetinteractive,7e81c00180c4ddb02b5339337eec5f78ed9c4342,,false,20,2020-03-03 19:08:44-05:00,14,2020-03-04 17:00:35,0,1,1,0,0,964,18,18,0,false,false,Tuesday,March,1,2020,19,Evening,false,8,2
false,false,Merge pull request #2836 from AbhitejJohn/fixtypo,The commit message does not explicitly mention a bugfix further context needed,b611a4a5401468b7734d2b009e23889bae3818d3,dotnetinteractive,d8b80c3010319df99c115b8b0eaf622e9ced603d,340acfc3d824d5a6c4238cc20e6caf4552a67b1c,true,87,2023-03-14 18:39:02-04:00,2,2023-03-14 22:39:02,1,2,2,0,0,188,0,2,2,false,false,Tuesday,March,1,2023,18,Afternoon,false,49,6
false,false,notebook changes,The term 'changes' is too vague and doesn't specifically imply fixing a bug,d5a26683e4f1d2ab4d6de82941efee5bb427ebd3,dotnetinteractive,85d038234705fe1936a380b61ee2aaad66930a03,,false,10,2021-02-04 19:45:57-05:00,14,2021-02-10 19:06:10,0,1,1,0,0,538,60,535,475,false,false,Thursday,February,1,2021,19,Evening,false,16,2
false,false,Merge pull request #553 from cartermp/fsharp-samples-update,Pull request reference does not indicate a bugfix without further context,a51e8526d30521cbdc29c484ffd080fb0c9656b2,dotnetinteractive,342b0de01d4dfcfc97f0f71bf4e711bdd0be6edc,aa0e789b01c6fb683804eca8e041a378cf075694,true,10,2019-10-25 05:12:52-04:00,2,2019-10-25 09:12:52,1,3,1,1,1,1198,203,492,289,true,true,Friday,October,4,2019,5,Night,false,59,6
false,false,Update dependencies from https://github.com/dotnet/arcade build 20201201.2,The description suggests updating software components rather than fixing bugs.,2f30b1841bb7a6555196b94c4c7d829c1ad362e1,dotnetinteractive,d3e65742fe6ae8b4646476465b7532d99a6e041f,,false,23,2020-12-07 08:14:07-05:00,14,2020-12-07 19:31:31,0,4,4,0,0,567,5,14,9,false,false,Monday,December,4,2020,8,Morning,false,74,6
false,false,update dotnet sdk to 3.1.200,Updating SDK versions is typically for improving features and security rather than fixing a bug.,43fc343f58c56436c1331f2d6695540895132286,dotnetinteractive,82b05923b0c02253bc1787a451925547c4cf0b48,,false,8,2020-03-16 14:39:53-04:00,6,2020-03-22 18:11:21,0,4,4,0,0,415,0,5,5,false,false,Monday,March,1,2020,14,Afternoon,false,28,5
false,false,change gesture for the sanddance,Changing a gesture likely relates to user interface improvements or added features rather than fixing existing code issues.,f417af1d9ad633d218ddcc9b25dd92813a40b7fd,dotnetinteractive,63edcccd235d2878805826475f7ece42c1fd867a,,false,10,2021-03-04 13:17:35-05:00,14,2021-03-05 02:02:33,0,1,1,0,0,117,0,1,1,false,false,Thursday,March,1,2021,13,Afternoon,false,32,5
false,false,Update dependencies from https://github.com/dotnet/arcade build 20240110.4 (#3415),Updating dependencies is typically for security or functional improvements but does not specify a fix to an existing bug.,e00acc92c37792ac280b44b77ec08363929e3568,dotnetinteractive,98de3d1cba3f0258e67b5439ea404d095411b369,,false,16,2024-01-16 12:52:45-05:00,2,2024-01-16 17:52:45,1,2,2,0,0,25,0,3,3,false,false,Tuesday,January,1,2024,12,Morning,false,82,7
false,false,update system drawing,Updating systems drawings doesn't necessarily imply fixing an existing bug,c791f80fc26328349da56af58dfaf4f721917703,dotnetinteractive,eb8fabf26689921554ba6bc9f247e0b235241b35,,false,10,2024-01-22 09:59:42-05:00,14,2024-01-22 17:41:35,0,1,1,0,0,47,0,1,1,false,false,Monday,January,1,2024,9,Morning,false,21,3
false,false,http routing refactor,"Routing can be part of both new features and refactor; without context indicating issue resolution we don't assume it's a bugfix.",2fc6bd9e8e83c454606312132b72a7ba9107f90f,dotnetinteractive,98de0568121745b54223c1f4c85ebdee0425549f,,false,10,2020-02-27 09:31:39-05:00,14,2020-02-28 20:50:03,0,3,2,1,0,248,8,55,47,true,false,Thursday,February,1,2020,9,Morning,false,21,3
