Predicted Label,Actual Label,Message,Reasoning,Sha,Source,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines,Has Added Files,Has Deleted Files,DayOfWeek,Month,Quarter,Year,Hour,TimeOfDay,Is Weekend,Message Length,Word Count
False,FALSE,Merge pull request #2836 from AbhitejJohn/fixtypo,The commit message does not explicitly mention a bugfix further context needed,b611a4a5401468b7734d2b009e23889bae3818d3,dotnetinteractive,d8b80c3010319df99c115b8b0eaf622e9ced603d,340acfc3d824d5a6c4238cc20e6caf4552a67b1c,True,87,2023-03-14 18:39:02-04:00,2,2023-03-14 22:39:02,1,2,2,0,0,188,0,2,2,False,False,Tuesday,March,1,2023,18,Afternoon,False,49,6
False,FALSE,notebook changes,The term 'changes' is too vague and doesn't specifically imply fixing a bug,d5a26683e4f1d2ab4d6de82941efee5bb427ebd3,dotnetinteractive,85d038234705fe1936a380b61ee2aaad66930a03,,False,10,2021-02-04 19:45:57-05:00,14,2021-02-10 19:06:10,0,1,1,0,0,538,60,535,475,False,False,Thursday,February,1,2021,19,Evening,False,16,2,
False,FALSE,Merge pull request #553 from cartermp/fsharp-samples-update,Pull request reference does not indicate a bugfix without further context,a51e8526d30521cbdc29c484ffd080fb0c9656b2,dotnetinteractive,342b0de01d4dfcfc97f0f71bf4e711bdd0be6edc,aa0e789b01c6fb683804eca8e041a378cf075694,True,10,2019-10-25 05:12:52-04:00,2,2019-10-25 09:12:52,1,3,1,1,1,1198,203,492,289,True,True,Friday,October,4,2019,5,Night,False,59,6,
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20201201.2,The description suggests updating software components rather than fixing bugs.,2f30b1841bb7a6555196b94c4c7d829c1ad362e1,dotnetinteractive,d3e65742fe6ae8b4646476465b7532d99a6e041f,,False,23,2020-12-07 08:14:07-05:00,14,2020-12-07 19:31:31,0,4,4,0,0,567,5,14,9,False,False,Monday,December,4,2020,8,Morning,False,74,6,
False,FALSE,update dotnet sdk to 3.1.200,Updating SDK versions is typically for improving features and security rather than fixing a bug.,43fc343f58c56436c1331f2d6695540895132286,dotnetinteractive,82b05923b0c02253bc1787a451925547c4cf0b48,,False,8,2020-03-16 14:39:53-04:00,6,2020-03-22 18:11:21,0,4,4,0,0,415,0,5,5,False,False,Monday,March,1,2020,14,Afternoon,False,28,5,
False,FALSE,change gesture for the sanddance,Changing a gesture likely relates to user interface improvements or added features rather than fixing existing code issues.,f417af1d9ad633d218ddcc9b25dd92813a40b7fd,dotnetinteractive,63edcccd235d2878805826475f7ece42c1fd867a,,False,10,2021-03-04 13:17:35-05:00,14,2021-03-05 02:02:33,0,1,1,0,0,117,0,1,1,False,False,Thursday,March,1,2021,13,Afternoon,False,32,5,
False,FALSE,Update dependencies from https://github.com/dotnet/arcade build 20240110.4 (#3415),Updating dependencies is typically for security or functional improvements but does not specify a fix to an existing bug.,e00acc92c37792ac280b44b77ec08363929e3568,dotnetinteractive,98de3d1cba3f0258e67b5439ea404d095411b369,,False,16,2024-01-16 12:52:45-05:00,2,2024-01-16 17:52:45,1,2,2,0,0,25,0,3,3,False,False,Tuesday,January,1,2024,12,Morning,False,82,7,
False,FALSE,Add test,Adding a test does not fix a bug but rather helps in ensuring future changes do not introduce bugs,e1283c0b37e7e664e0323116baaba9592d346e87,dotnetinteractive,7e81c00180c4ddb02b5339337eec5f78ed9c4342,,False,20,2020-03-03 19:08:44-05:00,14,2020-03-04 17:00:35,0,1,1,0,0,964,18,18,0,False,False,Tuesday,March,1,2020,19,Evening,False,8,2,
False,FALSE,update system drawing,Updating systems drawings doesn't necessarily imply fixing an existing bug,c791f80fc26328349da56af58dfaf4f721917703,dotnetinteractive,eb8fabf26689921554ba6bc9f247e0b235241b35,,False,10,2024-01-22 09:59:42-05:00,14,2024-01-22 17:41:35,0,1,1,0,0,47,0,1,1,False,False,Monday,January,1,2024,9,Morning,False,21,3,
False,FALSE,http routing refactor,"Routing can be part of both new features and refactor; without context indicating issue resolution, we don't assume it's a bugfix.",2fc6bd9e8e83c454606312132b72a7ba9107f90f,dotnetinteractive,98de0568121745b54223c1f4c85ebdee0425549f,,False,10,2020-02-27 09:31:39-05:00,14,2020-02-28 20:50:03,0,3,2,1,0,248,8,55,47,True,False,Thursday,February,1,2020,9,Morning,False,21,3,
False,FALSE,test that submit code command is used,The commit message suggests adding testing but doesn't explicitly state fixing a bug.,0963dfe0f057e1af3d8db16ac5f5ff6c5aed7d2a,dotnetinteractive,82110cbe4706e66c3d323d5f6770e3d65df196d5,,False,10,2020-05-06 08:40:53-04:00,14,2020-05-07 08:09:41,0,2,2,0,0,100,18,22,4,False,False,Wednesday,May,2,2020,8,Morning,False,37,7,
